lemma,count
"(u'adverb', u'\u05d9\u05d5\u05ea\u05e8')",2526
"(u'adverb', u'\u05db\u05d1\u05e8')",2198
"(u'adverb', u'\u05e2\u05d5\u05d3')",2133
"(u'adverb', u'\u05e9\u05dd')",1471
"(u'adverb', u'\u05d0\u05d5\u05dc\u05d9')",1449
"(u'adverb', u'\u05e7\u05e6\u05ea')",1400
"(u'adverb', u'\u05d0\u05d9\u05da')",1239
"(u'adverb', u'\u05e2\u05db\u05e9\u05d9\u05d5')",1238
"(u'adverb', u'\u05d1\u05d0\u05de\u05ea')",1177
"(u'adverb', u'\u05d4\u05db\u05d9')",1168
"(u'adverb', u'\u05d4\u05d9\u05d5\u05dd')",1153
"(u'adverb', u'\u05de\u05d0\u05d5\u05d3')",1074
"(u'adverb', u'\u05d4\u05e8\u05d1\u05d4')",1061
"(u'adverb', u'\u05e4\u05e9\u05d5\u05d8')",992
"(u'adverb', u'\u05db\u05db\u05d4')",929
"(u'adverb', u'\u05d8\u05d5\u05d1')",904
"(u'adverb', u'\u05ea\u05de\u05d9\u05d3')",874
"(u'adverb', u'\u05e4\u05d4')",861
"(u'adverb', u'\u05e9\u05d5\u05d1')",855
"(u'adverb', u'\u05db\u05df')",845
"(u'adverb', u'\u05de\u05de\u05e9')",790
"(u'adverb', u'\u05d1\u05db\u05dc\u05dc')",750
"(u'adverb', u'\u05e4\u05e2\u05dd')",718
"(u'adverb', u'\u05e4\u05ea\u05d0\u05d5\u05dd')",571
"(u'adverb', u'\u05d3\u05d9')",559
"(u'adverb', u'\u05e1\u05ea\u05dd')",517
"(u'adverb', u'\u05db\u05d0\u05df')",512
"(u'adverb', u'\u05dc\u05e4\u05e2\u05de\u05d9\u05dd')",471
"(u'adverb', u'\u05e2\u05d3\u05d9\u05d9\u05df')",463
"(u'adverb', u'\u05e8\u05e7')",439
"(u'adverb', u'\u05db\u05de\u05e2\u05d8')",430
"(u'adverb', u'\u05e7\u05e9\u05d4')",428
"(u'adverb', u'\u05d1\u05d9\u05d5\u05ea\u05e8')",394
"(u'adverb', u'\u05dc\u05e4\u05d7\u05d5\u05ea')",366
