lemma,count
"(u'noun', u'\u05d9\u05d5\u05dd')",3109
"(u'noun', u'\u05d3\u05d1\u05e8')",2558
"(u'noun', u'\u05d0\u05d9\u05e9')",2102
"(u'noun', u'\u05d6\u05de\u05df')",1849
"(u'noun', u'\u05d7\u05d9\u05d9\u05dd')",1636
"(u'noun', u'\u05de\u05e9\u05d4\u05d5')",1517
"(u'noun', u'\u05de\u05e7\u05d5\u05dd')",1510
"(u'noun', u'\u05e9\u05e0\u05d4')",1494
"(u'noun', u'\u05e8\u05d2\u05e2')",1331
"(u'noun', u'\u05d1\u05d9\u05ea')",1304
"(u'noun', u'\u05e4\u05e2\u05dd')",1259
"(u'noun', u'\u05e9\u05e2\u05d4')",1233
"(u'noun', u'\u05d9\u05d3')",1218
"(u'noun', u'\u05d9\u05dc\u05d3')",1150
"(u'noun', u'\u05d7\u05d1\u05e8')",1097
"(u'noun', u'\u05d3\u05e8\u05da')",1006
"(u'noun', u'\u05de\u05e9\u05d7\u05e7')",998
"(u'noun', u'\u05e1\u05d5\u05e3')",941
"(u'noun', u'\u05e2\u05d5\u05dc\u05dd')",906
"(u'noun', u'\u05dc\u05d1')",849
"(u'noun', u'\u05de\u05d9\u05dc\u05d4')",830
"(u'noun', u'\u05e8\u05d0\u05e9')",795
"(u'noun', u'\u05d1\u05ea')",771
"(u'noun', u'\u05d0\u05dc')",752
"(u'noun', u'\u05d0\u05d7')",733
"(u'noun', u'\u05d1\u05df')",702
"(u'noun', u'\u05e1\u05e4\u05e8')",663
"(u'noun', u'\u05e9\u05d1\u05d5\u05e2')",641
"(u'noun', u'\u05de\u05d9\u05e9\u05d4\u05d5')",609
"(u'noun', u'\u05d0\u05e0\u05d9')",603
"(u'noun', u'\u05d0\u05d4\u05d1\u05d4')",599
"(u'noun', u'\u05d0\u05de\u05d0')",587
"(u'noun', u'\u05d1\u05dc\u05d5\u05d2')",585
"(u'noun', u'\u05e4\u05d5\u05e1\u05d8')",581
"(u'noun', u'\u05d1\u05d5\u05e7\u05e8')",578
"(u'noun', u'\u05e9\u05dd')",568
"(u'noun', u'\u05e2\u05e8\u05d1')",561
"(u'noun', u'\u05de\u05d9\u05df')",561
"(u'noun', u'\u05d7\u05d9\u05d5\u05da')",537
"(u'noun', u'\u05de\u05e6\u05d1')",530
"(u'noun', u'\u05d1\u05d7\u05d5\u05e8')",527
