lemma,count
"(u'verb', u'\u05d4\u05dc\u05da')",3056
"(u'verb', u'\u05e2\u05e9\u05d4')",2603
"(u'verb', u'\u05d9\u05d3\u05e2')",2481
"(u'verb', u'\u05e8\u05e6\u05d4')",2374
"(u'verb', u'\u05d4\u05d2\u05d9\u05e2')",2078
"(u'verb', u'\u05d0\u05de\u05e8')",2049
"(u'verb', u'\u05e8\u05d0\u05d4')",1979
"(u'verb', u'\u05d4\u05e8\u05d2\u05d9\u05e9')",1662
"(u'verb', u'\u05d7\u05e9\u05d1')",1608
"(u'verb', u'\u05d4\u05ea\u05d7\u05d9\u05dc')",1582
"(u'verb', u'\u05d9\u05e6\u05d0')",1411
"(u'verb', u'\u05d1\u05d0')",1364
"(u'verb', u'\u05d0\u05d4\u05d1')",1225
"(u'verb', u'\u05e2\u05d1\u05e8')",1177
"(u'verb', u'\u05d7\u05d6\u05e8')",1090
"(u'verb', u'\u05d4\u05d1\u05d9\u05df')",1035
"(u'verb', u'\u05e0\u05e8\u05d0\u05d4')",993
"(u'verb', u'\u05db\u05ea\u05d1')",961
"(u'verb', u'\u05e0\u05ea\u05df')",846
"(u'verb', u'\u05e7\u05d9\u05d1\u05dc')",837
"(u'verb', u'\u05e0\u05d9\u05e1\u05d4')",833
"(u'verb', u'\u05d4\u05d2\u05d9\u05d3')",824
"(u'verb', u'\u05dc\u05e7\u05d7')",814
"(u'verb', u'\u05de\u05e6\u05d0')",811
"(u'verb', u'\u05e7\u05e8\u05d0')",779
"(u'verb', u'\u05d3\u05d9\u05d1\u05e8')",753
"(u'verb', u'\u05d4\u05e6\u05dc\u05d9\u05d7')",724
"(u'verb', u'\u05e7\u05e8\u05d4')",720
"(u'verb', u'\u05e0\u05db\u05e0\u05e1')",693
"(u'verb', u'\u05e9\u05de\u05e2')",684
"(u'verb', u'\u05d4\u05de\u05e9\u05d9\u05da')",683
"(u'verb', u'\u05d0\u05db\u05dc')",682
"(u'verb', u'\u05e0\u05e9\u05d0\u05e8')",681
"(u'verb', u'\u05dc\u05df')",676
"(u'verb', u'\u05d9\u05e9\u05d1')",664
"(u'verb', u'\u05dc\u05de\u05d3')",594
"(u'verb', u'\u05d6\u05db\u05e8')",560
"(u'verb', u'\u05d7\u05d9\u05db\u05d4')",549
"(u'verb', u'\u05e0\u05d2\u05de\u05e8')",547
"(u'verb', u'\u05d4\u05d7\u05dc\u05d9\u05d8')",530
"(u'verb', u'\u05e2\u05dc\u05d4')",490
"(u'verb', u'\u05d4\u05db\u05d9\u05e8')",465
"(u'verb', u'\u05d4\u05e4\u05da')",459
"(u'verb', u'\u05e7\u05e0\u05d4')",458
"(u'verb', u'\u05e9\u05d9\u05d7\u05e7')",449
"(u'verb', u'\u05e9\u05d0\u05dc')",437
"(u'verb', u'\u05e9\u05db\u05d7')",437
"(u'verb', u'\u05d4\u05d1\u05d9\u05d0')",430
"(u'verb', u'\u05d4\u05d0\u05de\u05d9\u05df')",425
"(u'verb', u'\u05d9\u05e9\u05df')",413
"(u'verb', u'\u05d7\u05d9\u05d9\u05da')",408
"(u'verb', u'\u05d1\u05db\u05d4')",400
"(u'verb', u'\u05d4\u05e1\u05ea\u05db\u05dc')",393
"(u'verb', u'\u05e2\u05de\u05d3')",384
"(u'verb', u'\u05d1\u05d9\u05e7\u05e9')",369
"(u'verb', u'\u05d4\u05e4\u05e1\u05d9\u05e7')",364
"(u'verb', u'\u05e0\u05e1\u05e2')",360
"(u'verb', u'\u05d4\u05d5\u05e6\u05d9\u05d0')",356
"(u'verb', u'\u05e9\u05dd')",351
"(u'verb', u'\u05d9\u05e8\u05d3')",344
"(u'verb', u'\u05e7\u05dd')",334
"(u'verb', u'\u05e6\u05d7\u05e7')",328
"(u'verb', u'\u05e7\u05d9\u05d5\u05d5\u05d4')",320
"(u'verb', u'\u05d0\u05d9\u05d1\u05d3')",314
"(u'verb', u'\u05d7\u05d9\u05e4\u05e9')",309
"(u'verb', u'\u05e1\u05d9\u05d9\u05dd')",306
"(u'verb', u'\u05e0\u05e4\u05dc')",302
"(u'verb', u'\u05e8\u05e5')",302
"(u'verb', u'\u05e2\u05d1\u05d3')",294
"(u'verb', u'\u05e1\u05d9\u05e4\u05e8')",290
"(u'verb', u'\u05d2\u05e8\u05dd')",290
"(u'verb', u'\u05e2\u05d6\u05d1')",281
"(u'verb', u'\u05d7\u05d9')",280
"(u'verb', u'\u05d4\u05db\u05d9\u05dc')",278
"(u'verb', u'\u05e4\u05ea\u05d7')",275
"(u'verb', u'\u05e2\u05d6\u05e8')",267
"(u'verb', u'\u05d4\u05e1\u05e4\u05d9\u05e7')",261
"(u'verb', u'\u05e6\u05e2\u05e7')",260
"(u'verb', u'\u05d0\u05d9\u05d7\u05d3')",258
"(u'verb', u'\u05e9\u05de\u05e8')",257
"(u'verb', u'\u05e0\u05de\u05e6\u05d0')",245
"(u'verb', u'\u05e9\u05d9\u05e0\u05d4')",238
"(u'verb', u'\u05e4\u05d2\u05e9')",237
"(u'verb', u'\u05e9\u05d1')",235
"(u'verb', u'\u05d1\u05d7\u05e8')",235
"(u'verb', u'\u05e9\u05e0\u05d0')",235
"(u'verb', u'\u05d4\u05e0\u05d9\u05d7')",233
"(u'verb', u'\u05db\u05d0\u05d1')",233
"(u'verb', u'\u05e0\u05e9\u05de\u05e2')",231
"(u'verb', u'\u05d4\u05e9\u05d0\u05d9\u05e8')",227
"(u'verb', u'\u05e0\u05d9\u05e6\u05d7')",225
"(u'verb', u'\u05e0\u05de\u05d0\u05e1')",225
"(u'verb', u'\u05d4\u05d1\u05d8\u05d9\u05d7')",222
"(u'verb', u'\u05e9\u05ea\u05d4')",217
"(u'verb', u'\u05e2\u05e6\u05e8')",215
"(u'verb', u'\u05d2\u05d9\u05dc\u05d4')",213
"(u'verb', u'\u05d4\u05d6\u05db\u05d9\u05e8')",208
"(u'verb', u'\u05d4\u05e1\u05d1\u05d9\u05e8')",199
"(u'verb', u'\u05d4\u05e9\u05ea\u05e0\u05d4')",196
"(u'verb', u'\u05d1\u05e8\u05d7')",193
