type,user,age,sex,verb,bp
gen,100165,16,male,plS,F
gen,100165,16,male,hSpi`,F
gen,100165,16,male,bzbz,F
gen,100165,16,male,hstkl,F
gen,100165,16,male,hstkl,F
gen,100165,16,male,bnh,F
gen,100165,16,male,Sth,F
gen,100165,16,male,`iqM,T
gen,100165,16,male,Sxrr,F
gen,10017,17,female,hstkl,F
gen,10017,17,female,hstkl,F
gen,10017,17,female,hwrid,F
gen,10017,17,female,bzbz,F
gen,10017,17,female,akl,F
gen,100188,18,female,biTl,F
gen,100189,20,male,hSpi`,F
gen,100189,20,male,hriM,T
gen,100189,20,male,aibd,F
gen,100189,20,male,bzbz,F
gen,100189,20,male,hstkl,F
gen,100189,20,male,`cr,F
gen,100189,20,male,aibd,F
gen,10022,26,female,xibq,F
gen,10022,26,female,hstkl,T
gen,10022,26,female,hr`il,F
gen,10022,26,female,hstkl,F
gen,10022,26,female,Tpx,T
gen,10022,26,female,hgSiM,F
gen,10022,26,female,ng`,F
gen,10022,26,female,tps,F
gen,10022,26,female,hwrid,T
gen,10022,26,female,niqh,F
gen,10022,26,female,mtx,F
gen,10022,26,female,hwrid,F
gen,10022,26,female,hstkl,T
gen,10022,26,female,siiM,F
gen,100258,23,female,Sth,F
gen,100397,16,female,aibd,T
gen,100397,16,female,Sbr,F
gen,100506,18,female,hriM,T
gen,100506,18,female,hSpi`,T
gen,100506,18,female,ht`ll,F
gen,100506,18,female,Sixq,F
gen,100506,18,female,h`siq,T
gen,100506,18,female,mila,F
gen,100506,18,female,bzbz,F
gen,100506,18,female,siiM,F
gen,100506,18,female,bnh,F
gen,100506,18,female,cb`,T
gen,100506,18,female,aibd,F
gen,100506,18,female,hriM,T
gen,100506,18,female,Sbr,F
gen,100506,18,female,hriM,T
gen,100506,18,female,hcil,T
gen,100506,18,female,hrs,F
gen,100506,18,female,xdr,F
gen,100535,23,male,mila,F
gen,100535,23,male,nrdM,F
gen,100535,23,male,hstkl,F
gen,100535,23,male,hcil,F
gen,100874,17,male,aibd,F
gen,100874,17,male,SlT,F
gen,100874,17,male,biTl,F
gen,100874,17,male,biTl,F
gen,100874,17,male,kish,T
gen,100874,17,male,nipC,F
