age,gender,nchars
80,female,255471
80,female,43504
79,female,326355
77,male,355679
71,male,2744540
70,male,1676109
61,female,2209196
61,male,613985
59,male,57435
58,male,100326
58,female,1007321
57,male,15239098
56,female,5798527
55,female,3390707
55,male,1823820
53,male,774786
53,female,11896657
52,male,102434
51,female,1668961
49,female,2823216
48,female,4072859
48,female,4896347
47,male,979542
47,female,7133327
47,male,970366
47,male,370246
45,male,2264199
44,female,2429653
44,male,1757241
44,male,1983359
42,male,2782648
42,male,24834
41,female,854340
41,female,3653278
41,female,1964381
41,female,3085872
41,female,187425
41,male,1429821
40,male,693211
40,male,1233563
40,female,1421825
40,female,1732561
40,female,517610
40,female,1793746
39,female,1391004
39,male,65950
39,female,1426953
38,female,615868
38,female,2502754
38,male,773322
37,female,922251
37,female,554798
37,female,104233
37,male,112172
37,male,115736
37,male,535534
37,female,841923
37,female,22185
37,female,959700
37,female,2445605
36,female,1761872
36,female,8050994
36,male,411778
36,male,4131996
36,male,2592278
36,male,769505
36,female,840429
36,female,2233623
36,female,1065688
36,male,476109
36,male,1033761
35,female,637484
35,male,202878
35,male,850800
35,female,3961959
35,male,1349123
35,female,4164086
34,female,2468894
34,female,1702176
34,male,2031893
34,male,2038819
34,female,564416
34,female,4672819
34,male,345143
34,male,202168
34,male,3559329
34,male,905654
34,male,84486
34,male,6935253
34,male,1877441
34,male,2242799
34,male,658746
33,male,1189060
33,female,1804469
33,male,1989413
33,male,477208
33,female,1181701
33,female,488384
33,male,353588
33,female,628208
33,male,4349380
33,female,1187155
33,female,7924697
33,male,1351250
33,male,6204532
33,male,764955
32,male,1259255
32,female,1987885
32,male,1645711
32,male,1195974
32,male,136035
32,female,3929354
32,female,1363001
32,female,2283186
32,female,224586
32,male,1707086
32,male,224118
32,female,686473
32,male,3114783
32,female,3814315
32,male,1217988
32,male,790337
32,female,4043497
32,female,684481
32,male,8264212
32,male,1887865
32,male,58532
32,female,4818431
32,male,3687191
32,male,1492727
31,female,219959
31,male,609685
31,female,2763263
31,male,2598258
31,male,1699626
31,male,885393
31,female,884935
31,female,1291817
31,female,133905
31,male,1012622
31,male,257947
31,male,1151406
31,female,6250247
31,female,1277424
31,male,5261198
31,male,4563916
30,female,170361
30,female,2930514
30,female,2386833
30,female,1944090
30,male,3111290
30,male,171896
30,male,561235
30,female,4859811
30,male,748454
30,male,1013639
30,male,9062815
30,male,4219273
30,female,1713364
30,male,1823430
29,female,918392
29,male,1600091
29,male,391056
29,female,689269
29,male,3756571
29,male,315157
29,male,5161883
29,female,372029
29,male,5731356
29,male,961566
29,male,382526
29,male,2914745
29,male,1432026
28,male,8641914
28,male,612662
28,female,225512
28,female,1868275
28,female,1684030
28,male,1948396
28,male,82683
28,male,2698900
28,male,1913591
28,female,354482
28,female,626332
28,male,800012
28,female,169728
27,male,466106
27,male,568320
27,female,1720611
27,female,751161
27,male,462636
27,female,491320
27,male,3508625
27,female,1779683
27,female,5603118
27,female,5901313
27,male,5636980
27,female,1227663
27,female,804028
27,male,1306085
27,male,2590101
27,female,980042
27,male,2739062
27,male,2407035
27,female,480301
27,male,2030548
26,female,1326533
26,male,3203818
26,male,436647
26,female,1237777
26,male,2704152
26,female,79015
26,male,937324
26,male,13899471
26,male,30966
26,female,996679
26,female,1354166
26,female,460646
26,female,2018783
26,male,980255
26,female,1512711
26,male,436229
26,male,535778
26,male,1856163
26,female,150502
26,male,2598359
26,male,1542909
26,male,204757
26,female,5676110
26,male,651277
26,male,2339783
26,female,1672020
25,female,2672045
25,male,54932
25,female,2552494
25,male,1093145
25,female,958739
25,male,2066154
25,male,989812
25,female,139617
25,male,1021963
25,female,248087
25,male,1290261
25,male,1301428
25,female,1596703
25,female,2546656
25,female,411600
25,female,1344126
25,female,423315
25,female,2084027
25,male,1573144
24,male,2695665
24,male,4291363
24,female,25259
24,female,2571508
24,male,629764
24,male,1496454
24,female,2512321
24,female,1370915
24,female,507838
24,male,132277
24,female,1267154
24,female,302468
24,male,146576
24,male,561439
24,male,1186751
24,male,3009906
24,female,1635887
24,female,809719
24,male,964869
24,male,1033098
24,female,630809
24,female,1641141
24,female,1719283
24,female,1958779
24,female,807409
24,male,469445
24,male,2791486
24,male,1693966
24,female,227875
23,female,490835
23,male,1077721
23,female,4767804
23,male,6303161
23,male,388474
23,male,518395
23,female,2203994
23,female,263312
23,female,1906328
23,female,3876847
23,male,765133
23,female,282023
23,male,348216
23,male,1872793
23,female,499093
23,female,791447
23,male,2086175
23,male,275411
23,male,587863
23,female,390929
23,female,711354
23,male,66775
23,male,1611616
23,male,4477802
23,female,739039
23,female,723206
23,female,1790438
23,female,173884
23,female,1377182
23,male,1323567
23,female,1411455
23,female,599354
23,female,2698630
23,male,1475806
23,female,433986
23,male,3913993
23,male,4832213
23,female,997368
23,male,1620658
23,male,7755662
23,male,278217
23,male,623471
23,female,1477800
23,male,833832
23,male,1653650
23,male,156057
23,female,580899
23,female,573252
23,male,3272770
23,male,10412377
23,male,1334645
23,female,2103225
23,female,19626936
23,male,543460
23,female,351723
23,female,822417
22,male,76257
22,male,701162
22,male,620749
22,male,400494
22,female,1186516
22,female,1530097
22,female,748908
22,male,1726515
22,male,205655
22,male,4542183
22,female,1545789
22,female,892604
22,male,149138
22,female,954444
22,female,4538918
22,male,857852
22,female,2146761
22,male,34126
22,female,106672
22,female,471026
22,female,404561
22,female,2472350
22,female,639697
22,male,361334
22,female,2503308
22,male,39573
22,male,11991081
22,female,573980
22,female,14500
22,male,601
22,female,2945708
22,male,866010
22,male,3532860
22,female,953867
22,female,735958
22,female,1752767
22,female,1931371
22,female,406879
22,female,1095796
22,female,8476697
22,male,47072
22,male,826725
22,female,6866844
22,male,1871661
22,male,698848
22,female,5329038
22,male,71496
22,female,2043088
22,male,309274
22,female,7342736
22,male,313166
22,male,1618388
22,male,200482
22,female,1108458
22,female,767166
22,female,3490049
22,female,1282483
22,male,511337
22,female,4901329
22,male,420430
22,female,354562
22,female,2649064
22,female,478504
22,male,920284
22,female,348985
22,female,1325430
22,male,534435
22,female,362103
22,female,2508042
22,female,740258
22,female,4398735
21,female,621245
21,female,1682943
21,female,373901
21,male,649610
21,female,6536756
21,male,2487248
21,female,4160949
21,female,367076
21,female,1167
21,male,123989
21,male,1518395
21,male,308137
21,female,146352
21,male,289207
21,female,883771
21,male,245883
21,female,1896561
21,female,491091
21,female,619675
21,female,939997
21,female,532401
21,male,360215
21,female,2705789
21,female,1435520
21,male,543288
21,male,2262922
21,female,1110547
21,female,78012
21,male,683521
21,male,1184572
21,male,2061573
21,female,261299
21,female,2508965
21,female,1987298
21,female,1692817
21,female,2584279
21,female,139623
21,male,1582945
21,female,2485916
21,female,4342
21,female,1358683
21,female,847787
21,female,943222
21,female,1963692
21,male,170006
21,female,1227663
21,female,1034720
21,female,148693
21,female,3189479
21,female,256120
21,female,1280417
21,male,4168618
21,female,1267543
21,male,3860331
21,male,783827
21,female,4547022
21,female,519237
21,female,35689
21,female,501473
21,female,915953
21,male,4663017
21,female,3510744
21,male,1652195
21,female,279632
21,female,784987
21,female,84272
21,female,868193
21,female,432626
21,female,78798
21,female,1032353
21,male,365228
21,male,170337
21,female,6748908
21,female,925620
21,female,593788
21,male,215159
21,female,1258107
21,male,1401578
21,female,645577
21,female,1885853
21,female,418904
21,male,2844003
21,female,159328
21,female,732113
21,male,58363
21,female,9453798
21,female,787819
21,female,1613976
21,female,1429553
21,male,294398
21,male,3324351
21,male,68275
21,female,4161405
21,female,620628
21,female,244875
21,male,823421
21,female,1531991
21,female,2347179
21,female,1288073
21,male,2123521
21,female,2534933
21,female,421569
21,female,891525
21,male,822566
21,female,3968513
21,female,1347965
21,male,6271987
21,female,3902240
21,female,1840171
21,female,3956777
21,female,1181295
21,female,2329324
21,male,3430013
21,female,682278
21,female,409673
21,female,2874782
21,male,425907
21,female,702637
21,male,8230770
21,male,360179
21,male,1107979
21,male,373865
21,female,1237942
21,male,4170795
21,female,3923
21,female,1027343
21,female,1732893
21,male,1910738
21,female,3173621
21,female,323900
21,female,638911
21,female,863471
21,female,451439
21,male,1453422
21,male,798328
21,female,2029176
21,male,635406
21,female,1196014
21,male,2082750
21,male,783028
21,female,280973
21,female,1778660
21,female,713251
21,female,4729345
21,female,2450188
21,female,2289195
21,female,2401392
21,female,2358355
21,female,605518
21,male,1069041
21,female,225661
21,male,1405455
21,female,299698
21,male,1788729
21,female,28070
21,female,485650
21,female,130179
20,male,832596
20,male,2580794
20,female,2008179
20,female,1277926
20,male,456143
20,female,1312072
20,female,1440606
20,female,1797199
20,female,1703098
20,female,215811
20,male,1207534
20,male,496350
20,female,673328
20,female,572680
20,female,2007688
20,male,551408
20,female,1337466
20,male,2637609
20,male,715710
20,female,484730
20,male,2502165
20,female,377711
20,female,1960858
20,female,214907
20,male,9544
20,female,772028
20,male,1616933
20,female,413130
20,female,691829
20,female,1403777
20,female,426541
20,female,8890
20,female,625717
20,female,2838709
20,female,1507300
20,female,1122744
20,male,1220595
20,female,172474
20,male,407228
20,male,635274
20,female,681024
20,female,1566022
20,female,1243146
20,male,828128
20,female,713555
20,female,1925496
20,female,1093357
20,female,4389537
20,male,2318498
20,male,132636
20,female,48869
20,female,708119
20,male,2555966
20,female,2873250
20,female,585163
20,male,1491351
20,female,2026273
20,female,1252503
20,male,1213392
20,male,242594
20,male,618140
20,male,674481
20,female,890690
20,male,23515
20,male,603872
20,male,66567
20,female,6318639
20,female,35975
20,male,1018622
20,male,262753
20,male,8123
20,male,31
20,female,841710
20,male,1138719
20,female,1971446
20,female,931793
20,female,1117037
20,male,1296224
20,male,356
20,female,1572673
20,female,1140363
20,male,943582
20,female,5180937
20,female,316512
20,female,456106
20,male,1136005
20,female,228822
20,female,2092994
20,male,909390
20,female,3908570
20,female,999012
20,female,45709
20,male,1482685
20,female,1834622
20,female,2859986
20,male,469255
20,female,1061210
20,female,294285
20,female,667339
20,male,365897
20,female,1517915
20,male,161805
20,female,1464033
20,male,3568525
